Source ID,Title,Publishing organisation,Source type,Publication or update date,Access date,Relevant claim,Repository decision supported,Reliability assessment,Primary or secondary source,Cross-verification source ID,Notes
SRC-001,Management of Portfolios (MoP),AXELOS,Standard,2011-01-01,2026-07-22,Portfolio governance cycles require intake shaping and delivery monitoring,DEC-006,HIGH,Primary,SRC-002,Standard UK public sector and enterprise PMO guidance
SRC-002,The Standard for Portfolio Management - Fourth Edition,Project Management Institute (PMI),Standard,2017-12-15,2026-07-22,Structured risk prioritisation and decision gates are mandatory for portfolio governance,DEC-001,HIGH,Primary,SRC-001,Global PMO standard
SRC-003,APM Body of Knowledge 7th Edition,Association for Project Management (APM),Standard,2019-05-01,2026-07-22,Portfolio risk scoring requires impact and probability categorisation,DEC-006,HIGH,Secondary,SRC-001,Corroborates MoP framework
SRC-004,Jira Software CSV Export Guide,Atlassian,Documentation,2024-01-15,2026-07-22,CSV exports represent custom fields as tabular columns,DEC-002,HIGH,Primary,SRC-005,Official vendor documentation
SRC-005,Jira REST API v3 Reference,Atlassian,Documentation,2024-03-01,2026-07-22,Issue structures contain linked dependencies and priority fields,DEC-002,HIGH,Primary,SRC-004,Official API spec
SRC-006,Executive PMO Reporting Best Practices,Gartner,Research Report,2023-09-10,2026-07-22,One-page executive view must highlight RAG status and escalations,DEC-005,HIGH,Primary,SRC-007,Industry analyst research
SRC-007,Governance of Co-owned and Complex Portfolios,Association for Project Management (APM),Guide,2022-04-18,2026-07-22,Governance packs require structured decision requests with options,DEC-013,HIGH,Secondary,SRC-006,Professional guidance
SRC-008,Artificial Intelligence Risk Management Framework (NIST AI 100-1),NIST,Standard,2023-01-26,2026-07-22,Trustworthy AI requires validity reliability and human oversight,DEC-003,HIGH,Primary,SRC-009,US Government AI RMF
SRC-009,ISO/IEC 42001:2023 Information technology — Artificial intelligence — Management system,ISO/IEC,Standard,2023-12-14,2026-07-22,AI management requires auditability and factual controls,DEC-004,HIGH,Primary,SRC-008,International AI standard
SRC-010,Ethics Guidelines for Trustworthy AI,European Commission High-Level Expert Group on AI,Guidelines,2019-04-08,2026-07-22,Human agency and oversight must govern automated summaries,DEC-010,HIGH,Secondary,SRC-008,EU guidance
SRC-011,Introduction to Information Retrieval,Cambridge University Press,Textbook,2008-07-07,2026-07-22,TF-IDF cosine similarity measures text document similarity effectively,DEC-015,HIGH,Primary,SRC-012,Academic foundational textbook
SRC-012,Feature Extraction - Scikit-Learn Documentation,Scikit-Learn Community,Documentation,2024-02-01,2026-07-22,TfidfVectorizer efficiently computes sparse term-document matrices,DEC-015,HIGH,Primary,SRC-011,Official library documentation
SRC-013,openpyxl - A Python library to read/write Excel 2010 xlsx/xlsm files,openpyxl Core Team,Documentation,2024-01-20,2026-07-22,openpyxl supports styles conditional formatting and formula evaluation,DEC-007,HIGH,Primary,SINGLE_SOURCE,Official library documentation
SRC-014,python-pptx documentation,python-pptx Team,Documentation,2023-11-15,2026-07-22,python-pptx enables slide template manipulation and table generation,DEC-007,HIGH,Primary,SINGLE_SOURCE,Official library documentation
