initiative_id,title,description,portfolio_category,initiative_type,strategic_objective,business_owner,delivery_owner,sponsor,lifecycle_stage,shaping_stage,priority,rag_status,confidence_level,start_date,target_end_date,last_update_date,progress_pct,budget,actual_cost,forecast_cost,expected_benefit,benefits_status,benefits_description,risk_exposure,dependency_ids,decision_required,next_milestone,next_milestone_date,data_quality_status,executive_summary,source_system_reference
INIT-001,Technology - API Gateway Modernisation Phase 2,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Programme,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,RED,LOW,2025-01-15,2025-11-30,2025-03-20,36.0,1250000.0,1600000.0,1687500.0,2250000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,HIGH,,True,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-001 (Technology - API Gateway Modernisation Phase 2) is currently Active with RED status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-001
INIT-002,Data - Enterprise Metadata Catalog Phase 3,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Project,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,52.0,880000.0,968000.0,985600.0,1584000.0,ON_TRACK,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,MEDIUM,INIT-001,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-002 (Data - Enterprise Metadata Catalog Phase 3) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-002
INIT-003,AI - Automated Document Processing Phase 1,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Programme,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,43.0,1005000.0,1306500.0,1005000.0,1809000.0,ON_TRACK,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-002,False,Production Deployment,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-003 (AI - Automated Document Processing Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-003
INIT-004,Cyber Security - Vulnerability Management System Phase 2,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Project,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,44.0,1040000.0,434720.0,1040000.0,1872000.0,ON_TRACK,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-003,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-004 (Cyber Security - Vulnerability Management System Phase 2) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-004
INIT-005,Fraud Prevention - Card Fraud Scoring Model Phase 3,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Programme,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,45.0,1075000.0,459562.5,1075000.0,1935000.0,ON_TRACK,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-004,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-005 (Fraud Prevention - Card Fraud Scoring Model Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-005
INIT-006,Technology - API Gateway Modernisation Phase 1,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Project,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,RED,LOW,2025-01-15,2025-11-30,2025-03-20,41.0,1500000.0,1920000.0,2025000.0,2700000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,HIGH,INIT-005,True,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-006 (Technology - API Gateway Modernisation Phase 1) is currently Active with RED status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-006
INIT-007,Data - Enterprise Metadata Catalog Phase 2,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Programme,Scale Data Enterprise Capabilities,Director of Data Operations,Lead Delivery Mgr (Data),Exec Sponsor (Data),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,57.0,1080000.0,1566000.0,1209600.0,1944000.0,ON_TRACK,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,MEDIUM,INIT-006,False,Production Deployment,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-007 (Data - Enterprise Metadata Catalog Phase 2) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-007
INIT-008,AI - Automated Document Processing Phase 3,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Project,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,48.0,1180000.0,538080.0,1180000.0,2124000.0,ON_TRACK,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-007,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-008 (AI - Automated Document Processing Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-008
INIT-009,Cyber Security - Vulnerability Management System Phase 1,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Programme,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,49.0,1215000.0,565582.5,1215000.0,2187000.0,ON_TRACK,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-008,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-009 (Cyber Security - Vulnerability Management System Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-009
INIT-010,Fraud Prevention - Card Fraud Scoring Model Phase 2,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Project,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,50.0,1250000.0,593750.0,1250000.0,2250000.0,ON_TRACK,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-009,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-010 (Fraud Prevention - Card Fraud Scoring Model Phase 2) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-010
INIT-011,Technology - API Gateway Modernisation Phase 3,Deliver strategic capabilities for api gateway modernisation to enhance operational resilience and control.,Technology,Programme,Scale Technology Enterprise Capabilities,Director of Technology Operations,Lead Delivery Mgr (Technology),Exec Sponsor (Technology),Active,Completed,High,RED,LOW,2025-01-15,2025-11-30,2025-03-20,46.0,1750000.0,2240000.0,2362500.0,3150000.0,ON_TRACK,Expected efficiency gains and risk reduction from API Gateway Modernisation.,HIGH,INIT-010,True,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-011 (Technology - API Gateway Modernisation Phase 3) is currently Active with RED status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-011
INIT-012,Data - Enterprise Metadata Catalog Phase 1,Deliver strategic capabilities for enterprise metadata catalog to enhance operational resilience and control.,Data,Project,Scale Data Enterprise Capabilities,,Lead Delivery Mgr (Data),Exec Sponsor (Data),Active,Completed,High,AMBER,MEDIUM,2025-01-15,2025-11-30,2025-03-20,62.0,1280000.0,1408000.0,1433600.0,2304000.0,ON_TRACK,Expected efficiency gains and risk reduction from Enterprise Metadata Catalog.,MEDIUM,INIT-011,False,Production Deployment,2025-06-30,EXCEPTIONS_FOUND,Initiative INIT-012 (Data - Enterprise Metadata Catalog Phase 1) is currently Active with AMBER status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-012
INIT-013,AI - Automated Document Processing Phase 2,Deliver strategic capabilities for automated document processing to enhance operational resilience and control.,AI,Programme,Scale AI Enterprise Capabilities,Director of AI Operations,Lead Delivery Mgr (AI),Exec Sponsor (AI),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,53.0,1355000.0,682242.5,1355000.0,2439000.0,ON_TRACK,Expected efficiency gains and risk reduction from Automated Document Processing.,LOW,INIT-012,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-013 (AI - Automated Document Processing Phase 2) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-013
INIT-014,Cyber Security - Vulnerability Management System Phase 3,Deliver strategic capabilities for vulnerability management system to enhance operational resilience and control.,Cyber Security,Project,Scale Cyber Security Enterprise Capabilities,Director of Cyber Security Operations,Lead Delivery Mgr (Cyber Security),Exec Sponsor (Cyber Security),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,54.0,1390000.0,713070.0,1390000.0,2502000.0,ON_TRACK,Expected efficiency gains and risk reduction from Vulnerability Management System.,LOW,INIT-013,False,Production Deployment,2025-06-30,VALIDATED,Initiative INIT-014 (Cyber Security - Vulnerability Management System Phase 3) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-014
INIT-015,Fraud Prevention - Card Fraud Scoring Model Phase 1,Deliver strategic capabilities for card fraud scoring model to enhance operational resilience and control.,Fraud Prevention,Programme,Scale Fraud Prevention Enterprise Capabilities,Director of Fraud Prevention Operations,Lead Delivery Mgr (Fraud Prevention),Exec Sponsor (Fraud Prevention),Active,Completed,Medium,GREEN,HIGH,2025-01-15,2025-11-30,2025-03-20,55.0,1425000.0,744562.5,1425000.0,2565000.0,ON_TRACK,Expected efficiency gains and risk reduction from Card Fraud Scoring Model.,LOW,INIT-014,False,Production Deployment,2025-02-15,EXCEPTIONS_FOUND,Initiative INIT-015 (Fraud Prevention - Card Fraud Scoring Model Phase 1) is currently Active with GREEN status. Key focus is on schedule and delivery milestone execution.,JIRA-EXPORT-20250322-INIT-015
